28.41,31.91,38.47,46.78,54.85,60.6,62.41,59.3,52.26,43.63,36.05,31.72,31.26,33.49,34.92,31.6,23.01,13.14,7.36,6.63,7.61,7.69,7.45,8.56,11.87,17.27,24.11,31.88,40.73,49.34
25.61,30.14,39.05,50.83,62.9,72.37,77.34,75.33,67.78,56.32,44.79,35.71,30.55,29.29,29.45,27.09,20.25,11.95,6.95,6.33,7.07,6.76,6.07,6.79,9.83,15.16,22.19,30.36,39.81,49.79
25.5,31.3,41.59,54.85,68.29,78.83,84.21,81.99,73.53,60.6,47.32,36.61,30.5,29.12,29.48,27.06,19.92,11.38,6.45,6.11,7.05,6.71,5.7,5.93,8.49,13.51,20.49,28.86,38.74,49.16
27.25,30.24,36.11,43.72,51.28,56.87,58.99,56.79,51.1,43.89,37.47,33.67,32.98,34.15,34.11,29.67,21.03,12.19,7.47,7.1,7.86,7.64,7.43,8.82,12.46,18.09,24.99,32.66,41.29,49.64
28.48,31.13,36.53,43.59,50.64,55.91,58.02,56.14,51.02,44.43,38.44,34.65,33.43,33.64,32.56,27.67,19.47,11.7,7.85,7.57,7.7,6.86,6.6,8.36,12.52,18.6,25.74,33.44,41.96,50.65
28.04,30.51,36.08,43.67,51.53,57.72,60.75,59.37,54.37,47.28,40.43,35.43,32.83,31.74,29.84,24.96,17.56,11.06,8.05,7.6,7,5.98,6.35,8.83,13.43,19.64,26.71,34.21,42.46,50.55
27.45,30.54,36.78,44.99,53.23,59.42,62.1,59.91,53.96,45.87,38.27,32.85,30.2,29.59,28.42,24.32,17.49,11.23,8.16,7.53,6.76,5.7,6.05,8.44,12.92,19.08,26.18,33.8,42.25,50.65
28.06,31.87,39,48.07,56.92,63.26,65.44,62.1,54.5,44.87,36.25,30.99,29.87,31.89,33.42,30.41,22.19,12.75,7.3,6.71,7.68,7.6,7.16,8.12,11.34,16.72,23.6,31.47,40.48,49.4
24.87,29.28,38.22,50.24,62.72,72.68,78.06,76.28,68.67,56.99,45.17,35.93,30.78,29.6,29.75,27.23,20.16,11.7,6.76,6.3,7.18,6.91,6.11,6.61,9.41,14.54,21.48,29.68,39.27,49.28
28.88,32.78,40.09,49.37,58.36,64.68,66.59,62.69,54.32,44.01,34.95,29.65,28.79,31.18,32.95,29.97,21.61,12.13,6.85,6.49,7.43,7.1,6.31,7,10.06,15.41,22.42,30.53,39.88,49.82
23.04,29.04,39.95,54.39,69.4,81.61,88.55,87.31,79.19,65.68,51.23,38.95,31.22,28.45,27.99,25.49,18.76,10.87,6.38,6.09,6.95,6.49,5.32,5.37,7.76,12.64,19.61,28.08,38.16,49.01
29.26,36.15,47.73,62.43,77.22,88.63,94.03,90.54,79.43,62.89,45.81,32.64,26.49,27.49,30.61,29.51,21.88,11.91,6.08,5.74,6.88,6.5,5.32,5.45,7.95,12.93,19.95,28.44,38.51,49.09
23.8,27.99,36.73,48.62,61.11,71.25,76.79,75.41,68.15,56.93,45.54,36.73,31.97,30.88,30.74,27.63,20.01,11.36,6.61,6.41,7.43,7.12,6.05,6.17,8.62,13.54,20.44,28.74,38.56,48.83
27.89,30.97,37.08,44.99,52.8,58.44,60.38,57.6,51.13,43.14,36.19,32.28,31.86,33.56,33.95,29.65,20.91,11.99,7.39,7.24,8.1,7.81,7.39,8.51,11.88,17.31,24.15,31.89,40.7,49.25
28.04,30.83,36.44,43.75,51.01,56.38,58.44,56.29,50.82,43.89,37.73,33.99,32.97,33.38,32.34,27.29,18.88,11.14,7.54,7.5,7.66,6.65,6.12,7.61,11.51,17.44,24.59,32.45,41.26,50.53
26.46,29.39,35.5,43.7,52.09,58.63,61.83,60.32,55.07,47.55,40.29,34.9,31.93,30.62,28.65,23.97,16.95,10.9,8.14,7.68,6.92,5.77,6.07,8.46,12.98,19.17,26.27,33.87,42.29,50.71
